2025-12-05 10:50:49,888 - Trying to connect to 192.168.1.2:5555
2025-12-05 10:50:53,608 - Trying to connect to 192.168.1.2:5555
2025-12-05 13:00:32,717 - Trying to connect to 222:5555
2025-12-05 17:43:59,774 - zerotier-cli failed: [WinError 2] The system cannot find the file specified
2025-12-05 17:44:00,030 - Found ZeroTier IP (Windows): 10.147.19.47 on Description . . . . . . . . . . .  ZeroTier Virtual Port
2025-12-05 17:44:00,031 - psutil check failed: No module named 'psutil'
2025-12-05 17:44:00,031 - All detected ZeroTier IPs: ['10.147.19.47']
2025-12-05 17:44:00,031 - Selected ZeroTier IP (any range): 10.147.19.47
2025-12-05 17:44:44,026 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:44,531 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:45,035 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:45,539 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:46,043 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:46,549 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:47,052 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:47,556 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:48,058 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:48,562 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:49,064 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:49,569 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:50,076 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:50,580 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:51,083 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:51,587 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:52,093 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:52,599 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:53,106 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:53,613 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:54,119 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:54,626 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:55,132 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:55,637 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:44:56,142 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:45:30,951 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:45:31,458 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:45:31,965 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:45:32,472 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:45:32,979 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
2025-12-05 17:45:33,486 - Connection info lines: ['ROLE: HOST', 'Network IP: 10.147.19.47', '(May work if player in same network)', 'Port: 5555', 'STATUS: Waiting for player...', 'INFO: Host started - Waiting for connection...']
